country,year,sex,age,suicides,population,suicides_p100k,country_year,HDI, gdp_year,gdp_per_capita,generation
Bahamas,2010,male,55-74 years,1,21188,5,Bahamas2010,0.774,10095760000,30239,Silent
Bahamas,2010,female,55-74 years,1,25150,4,Bahamas2010,0.774,10095760000,30239,Silent
Bahamas,2010,male,15-24 years,1,31968,3,Bahamas2010,0.774,10095760000,30239,Millenials
Bahamas,2010,female,35-54 years,1,53312,2,Bahamas2010,0.774,10095760000,30239,Generation X
Bahamas,2010,female,25-34 years,0,28521,0,Bahamas2010,0.774,10095760000,30239,Generation X
Bahamas,2010,female,5-14 years,0,26732,0,Bahamas2010,0.774,10095760000,30239,Generation Z
Bahamas,2010,female,75+ years,0,5772,0,Bahamas2010,0.774,10095760000,30239,Silent
Bahamas,2010,male,25-34 years,0,28398,0,Bahamas2010,0.774,10095760000,30239,Generation X
Bahamas,2010,male,5-14 years,0,27620,0,Bahamas2010,0.774,10095760000,30239,Generation Z
Bahrain,2010,male,35-54 years,8,252232,3,Bahrain2010,0.819,25713271277,22572,Generation X
Bahrain,2010,male,25-34 years,6,235591,3,Bahrain2010,0.819,25713271277,22572,Generation X
Bahrain,2010,male,55-74 years,1,41999,2,Bahrain2010,0.819,25713271277,22572,Silent
Bahrain,2010,female,35-54 years,2,125709,2,Bahrain2010,0.819,25713271277,22572,Generation X
Bahrain,2010,female,15-24 years,1,80571,1,Bahrain2010,0.819,25713271277,22572,Millenials
Bahrain,2010,female,25-34 years,1,104368,1,Bahrain2010,0.819,25713271277,22572,Generation X
Bahrain,2010,female,5-14 years,0,77140,0,Bahrain2010,0.819,25713271277,22572,Generation Z
Bahrain,2010,female,55-74 years,0,27834,0,Bahrain2010,0.819,25713271277,22572,Silent
Bahrain,2010,female,75+ years,0,4625,0,Bahrain2010,0.819,25713271277,22572,Silent
Bahrain,2010,male,15-24 years,0,103388,0,Bahrain2010,0.819,25713271277,22572,Millenials
Bahrain,2010,male,5-14 years,0,81414,0,Bahrain2010,0.819,25713271277,22572,Generation Z
Bahrain,2010,male,75+ years,0,4289,0,Bahrain2010,0.819,25713271277,22572,Silent
Barbados,2010,male,35-54 years,3,39379,8,Barbados2010,0.78,4461650000,17034,Generation X
Barbados,2010,female,15-24 years,0,18739,0,Barbados2010,0.78,4461650000,17034,Millenials
Barbados,2010,female,25-34 years,0,19612,0,Barbados2010,0.78,4461650000,17034,Generation X
Barbados,2010,female,35-54 years,0,43369,0,Barbados2010,0.78,4461650000,17034,Generation X
Barbados,2010,female,5-14 years,0,18590,0,Barbados2010,0.78,4461650000,17034,Generation Z
Barbados,2010,female,55-74 years,0,26589,0,Barbados2010,0.78,4461650000,17034,Silent
Barbados,2010,female,75+ years,0,9853,0,Barbados2010,0.78,4461650000,17034,Silent
Barbados,2010,male,15-24 years,0,18747,0,Barbados2010,0.78,4461650000,17034,Millenials
Barbados,2010,male,25-34 years,0,18826,0,Barbados2010,0.78,4461650000,17034,Generation X
Barbados,2010,male,5-14 years,0,19462,0,Barbados2010,0.78,4461650000,17034,Generation Z
Barbados,2010,male,55-74 years,0,22675,0,Barbados2010,0.78,4461650000,17034,Silent
Barbados,2010,male,75+ years,0,6086,0,Barbados2010,0.78,4461650000,17034,Silent
Belarus,2010,male,75+ years,115,158977,72,Belarus2010,0.786,57222490769,6371,Silent
Belarus,2010,male,35-54 years,869,1353782,64,Belarus2010,0.786,57222490769,6371,Generation X
Belarus,2010,male,55-74 years,458,744533,62,Belarus2010,0.786,57222490769,6371,Silent
Belarus,2010,male,25-34 years,382,723856,53,Belarus2010,0.786,57222490769,6371,Generation X
Belarus,2010,male,15-24 years,240,707657,34,Belarus2010,0.786,57222490769,6371,Millenials
Belarus,2010,female,75+ years,62,432426,14,Belarus2010,0.786,57222490769,6371,Silent
Belarus,2010,female,35-54 years,145,1483086,10,Belarus2010,0.786,57222490769,6371,Generation X
Belarus,2010,female,25-34 years,60,715558,8,Belarus2010,0.786,57222490769,6371,Generation X
Belarus,2010,female,55-74 years,83,1092687,8,Belarus2010,0.786,57222490769,6371,Silent
Belarus,2010,female,15-24 years,39,668827,6,Belarus2010,0.786,57222490769,6371,Millenials
Belarus,2010,male,5-14 years,5,462298,1,Belarus2010,0.786,57222490769,6371,Generation Z
Belarus,2010,female,5-14 years,1,437506,0,Belarus2010,0.786,57222490769,6371,Generation Z
Belgium,2010,male,75+ years,183,354037,52,Belgium2010,0.883,4.83548E+11,47355,Silent
Belgium,2010,male,35-54 years,622,1576828,39,Belgium2010,0.883,4.83548E+11,47355,Generation X
Belgium,2010,male,55-74 years,356,1084719,33,Belgium2010,0.883,4.83548E+11,47355,Silent
Belgium,2010,male,25-34 years,184,696461,26,Belgium2010,0.883,4.83548E+11,47355,Generation X
Belgium,2010,female,35-54 years,243,1548246,16,Belgium2010,0.883,4.83548E+11,47355,Generation X
Belgium,2010,female,55-74 years,173,1156036,15,Belgium2010,0.883,4.83548E+11,47355,Silent
Belgium,2010,male,15-24 years,98,663725,15,Belgium2010,0.883,4.83548E+11,47355,Millenials
Belgium,2010,female,75+ years,63,586690,11,Belgium2010,0.883,4.83548E+11,47355,Silent
Belgium,2010,female,25-34 years,50,693304,7,Belgium2010,0.883,4.83548E+11,47355,Generation X
Belgium,2010,female,15-24 years,32,647625,5,Belgium2010,0.883,4.83548E+11,47355,Millenials
Belgium,2010,male,5-14 years,7,614697,1,Belgium2010,0.883,4.83548E+11,47355,Generation Z
Belgium,2010,female,5-14 years,2,588803,0,Belgium2010,0.883,4.83548E+11,47355,Generation Z
Belize,2010,male,55-74 years,2,11553,17,Belize2010,0.71,1397113450,4923,Silent
Belize,2010,male,25-34 years,4,24053,17,Belize2010,0.71,1397113450,4923,Generation X
Belize,2010,male,35-54 years,5,32734,15,Belize2010,0.71,1397113450,4923,Generation X
Belize,2010,male,15-24 years,2,32338,6,Belize2010,0.71,1397113450,4923,Millenials
Belize,2010,female,35-54 years,2,32852,6,Belize2010,0.71,1397113450,4923,Generation X
Belize,2010,female,15-24 years,0,32738,0,Belize2010,0.71,1397113450,4923,Millenials
Belize,2010,female,25-34 years,0,25416,0,Belize2010,0.71,1397113450,4923,Generation X
Belize,2010,female,5-14 years,0,38304,0,Belize2010,0.71,1397113450,4923,Generation Z
Belize,2010,female,55-74 years,0,10522,0,Belize2010,0.71,1397113450,4923,Silent
Belize,2010,female,75+ years,0,2363,0,Belize2010,0.71,1397113450,4923,Silent
Belize,2010,male,5-14 years,0,38669,0,Belize2010,0.71,1397113450,4923,Generation Z
Belize,2010,male,75+ years,0,2254,0,Belize2010,0.71,1397113450,4923,Silent
Brazil,2010,male,75+ years,358,1882113,19,Brazil2010,0.737,2.20887E+12,12161,Silent
Brazil,2010,male,55-74 years,1236,10813388,11,Brazil2010,0.737,2.20887E+12,12161,Silent
Brazil,2010,male,25-34 years,1832,17023785,11,Brazil2010,0.737,2.20887E+12,12161,Generation X
Brazil,2010,male,35-54 years,2586,24501254,11,Brazil2010,0.737,2.20887E+12,12161,Generation X
Brazil,2010,male,15-24 years,1288,17726866,7,Brazil2010,0.737,2.20887E+12,12161,Millenials
Brazil,2010,female,35-54 years,835,26004856,3,Brazil2010,0.737,2.20887E+12,12161,Generation X
Brazil,2010,female,55-74 years,339,12605588,3,Brazil2010,0.737,2.20887E+12,12161,Silent
Brazil,2010,female,75+ years,79,2940677,3,Brazil2010,0.737,2.20887E+12,12161,Silent
Brazil,2010,female,25-34 years,404,17054489,2,Brazil2010,0.737,2.20887E+12,12161,Generation X
Brazil,2010,female,15-24 years,368,17237481,2,Brazil2010,0.737,2.20887E+12,12161,Millenials
Brazil,2010,male,5-14 years,56,17242386,0,Brazil2010,0.737,2.20887E+12,12161,Generation Z
Brazil,2010,female,5-14 years,48,16596829,0,Brazil2010,0.737,2.20887E+12,12161,Generation Z
Bulgaria,2010,male,75+ years,137,224566,61,Bulgaria2010,0.773,50610058210,7066,Silent
Bulgaria,2010,male,55-74 years,217,799085,27,Bulgaria2010,0.773,50610058210,7066,Silent
Bulgaria,2010,male,35-54 years,202,1058086,19,Bulgaria2010,0.773,50610058210,7066,Generation X
Bulgaria,2010,female,75+ years,60,366672,16,Bulgaria2010,0.773,50610058210,7066,Silent
Bulgaria,2010,male,25-34 years,57,566462,10,Bulgaria2010,0.773,50610058210,7066,Generation X
Bulgaria,2010,female,55-74 years,74,979427,8,Bulgaria2010,0.773,50610058210,7066,Silent
Bulgaria,2010,male,15-24 years,35,467481,7,Bulgaria2010,0.773,50610058210,7066,Millenials
Bulgaria,2010,female,35-54 years,57,1061049,5,Bulgaria2010,0.773,50610058210,7066,Generation X
Bulgaria,2010,female,25-34 years,11,537199,2,Bulgaria2010,0.773,50610058210,7066,Generation X
Bulgaria,2010,female,15-24 years,8,444943,2,Bulgaria2010,0.773,50610058210,7066,Millenials
Bulgaria,2010,male,5-14 years,1,338094,0,Bulgaria2010,0.773,50610058210,7066,Generation Z
Bulgaria,2010,female,5-14 years,0,319676,0,Bulgaria2010,0.773,50610058210,7066,Generation Z
Canada,2010,male,35-54 years,1292,5088099,25,Canada2010,0.903,1.61346E+12,49974,Generation X
Canada,2010,male,75+ years,200,917671,22,Canada2010,0.903,1.61346E+12,49974,Silent
Canada,2010,male,55-74 years,690,3333897,21,Canada2010,0.903,1.61346E+12,49974,Silent
Canada,2010,male,25-34 years,409,2366854,17,Canada2010,0.903,1.61346E+12,49974,Generation X
Canada,2010,male,15-24 years,371,2357806,16,Canada2010,0.903,1.61346E+12,49974,Millenials
Canada,2010,female,35-54 years,402,5044926,8,Canada2010,0.903,1.61346E+12,49974,Generation X
Canada,2010,female,55-74 years,237,3510692,7,Canada2010,0.903,1.61346E+12,49974,Silent
Canada,2010,female,25-34 years,154,2335884,7,Canada2010,0.903,1.61346E+12,49974,Generation X
Canada,2010,female,15-24 years,115,2239759,5,Canada2010,0.903,1.61346E+12,49974,Millenials
Canada,2010,female,75+ years,49,1347679,4,Canada2010,0.903,1.61346E+12,49974,Silent
Canada,2010,male,5-14 years,19,1922599,1,Canada2010,0.903,1.61346E+12,49974,Generation Z
Canada,2010,female,5-14 years,13,1820274,1,Canada2010,0.903,1.61346E+12,49974,Generation Z
Chile,2010,male,75+ years,98,241464,41,Chile2010,0.814,2.18538E+11,13874,Silent
Chile,2010,male,35-54 years,607,2329802,26,Chile2010,0.814,2.18538E+11,13874,Generation X
Chile,2010,male,25-34 years,307,1289792,24,Chile2010,0.814,2.18538E+11,13874,Generation X
Chile,2010,male,55-74 years,273,1162662,23,Chile2010,0.814,2.18538E+11,13874,Silent
Chile,2010,male,15-24 years,315,1442868,22,Chile2010,0.814,2.18538E+11,13874,Millenials
Chile,2010,female,15-24 years,90,1391250,6,Chile2010,0.814,2.18538E+11,13874,Millenials
Chile,2010,female,35-54 years,150,2348223,6,Chile2010,0.814,2.18538E+11,13874,Generation X
Chile,2010,female,25-34 years,78,1257779,6,Chile2010,0.814,2.18538E+11,13874,Generation X
Chile,2010,female,55-74 years,45,1307594,3,Chile2010,0.814,2.18538E+11,13874,Silent
Chile,2010,female,75+ years,10,404348,2,Chile2010,0.814,2.18538E+11,13874,Silent
Chile,2010,male,5-14 years,18,1311312,1,Chile2010,0.814,2.18538E+11,13874,Generation Z
Chile,2010,female,5-14 years,10,1264757,1,Chile2010,0.814,2.18538E+11,13874,Generation Z
Colombia,2010,male,75+ years,65,418296,16,Colombia2010,0.706,2.87018E+11,6836,Silent
Colombia,2010,male,25-34 years,436,3779392,12,Colombia2010,0.706,2.87018E+11,6836,Generation X
Colombia,2010,male,15-24 years,480,4274849,11,Colombia2010,0.706,2.87018E+11,6836,Millenials
Colombia,2010,male,55-74 years,225,2337537,10,Colombia2010,0.706,2.87018E+11,6836,Silent
Colombia,2010,male,35-54 years,463,5646115,8,Colombia2010,0.706,2.87018E+11,6836,Generation X
Colombia,2010,female,15-24 years,187,4154664,5,Colombia2010,0.706,2.87018E+11,6836,Millenials
Colombia,2010,female,25-34 years,78,3841659,2,Colombia2010,0.706,2.87018E+11,6836,Generation X
Colombia,2010,female,35-54 years,72,6052417,1,Colombia2010,0.706,2.87018E+11,6836,Generation X
Colombia,2010,male,5-14 years,41,4178908,1,Colombia2010,0.706,2.87018E+11,6836,Generation Z
Colombia,2010,female,5-14 years,39,4010759,1,Colombia2010,0.706,2.87018E+11,6836,Generation Z
Colombia,2010,female,75+ years,5,594329,1,Colombia2010,0.706,2.87018E+11,6836,Silent
Colombia,2010,female,55-74 years,16,2700178,1,Colombia2010,0.706,2.87018E+11,6836,Silent
Costa Rica,2010,male,25-34 years,74,371498,20,Costa Rica2010,0.75,37268635287,8906,Generation X
Costa Rica,2010,male,35-54 years,106,581171,18,Costa Rica2010,0.75,37268635287,8906,Generation X
Costa Rica,2010,male,55-74 years,36,274921,13,Costa Rica2010,0.75,37268635287,8906,Silent
Costa Rica,2010,male,75+ years,7,57885,12,Costa Rica2010,0.75,37268635287,8906,Silent
Costa Rica,2010,male,15-24 years,40,420069,10,Costa Rica2010,0.75,37268635287,8906,Millenials
Costa Rica,2010,female,25-34 years,12,364253,3,Costa Rica2010,0.75,37268635287,8906,Generation X
Costa Rica,2010,female,35-54 years,16,592166,3,Costa Rica2010,0.75,37268635287,8906,Generation X
Costa Rica,2010,female,15-24 years,10,404425,2,Costa Rica2010,0.75,37268635287,8906,Millenials
Costa Rica,2010,female,55-74 years,5,287471,2,Costa Rica2010,0.75,37268635287,8906,Silent
Costa Rica,2010,male,5-14 years,5,386778,1,Costa Rica2010,0.75,37268635287,8906,Generation Z
Costa Rica,2010,female,5-14 years,0,369792,0,Costa Rica2010,0.75,37268635287,8906,Generation Z
Costa Rica,2010,female,75+ years,0,74234,0,Costa Rica2010,0.75,37268635287,8906,Silent
Croatia,2010,male,75+ years,99,114205,87,Croatia2010,0.807,59829574391,14232,Silent
Croatia,2010,male,55-74 years,215,461893,47,Croatia2010,0.807,59829574391,14232,Silent
Croatia,2010,male,35-54 years,186,621977,30,Croatia2010,0.807,59829574391,14232,Generation X
Croatia,2010,female,75+ years,46,221668,21,Croatia2010,0.807,59829574391,14232,Silent
Croatia,2010,male,15-24 years,40,272848,15,Croatia2010,0.807,59829574391,14232,Millenials
Croatia,2010,male,25-34 years,44,316471,14,Croatia2010,0.807,59829574391,14232,Generation X
Croatia,2010,female,55-74 years,75,541827,14,Croatia2010,0.807,59829574391,14232,Silent
Croatia,2010,female,35-54 years,50,627682,8,Croatia2010,0.807,59829574391,14232,Generation X
Croatia,2010,female,15-24 years,13,261670,5,Croatia2010,0.807,59829574391,14232,Millenials
Croatia,2010,female,25-34 years,7,306249,2,Croatia2010,0.807,59829574391,14232,Generation X
Croatia,2010,female,5-14 years,1,222940,0,Croatia2010,0.807,59829574391,14232,Generation Z
Croatia,2010,male,5-14 years,0,234533,0,Croatia2010,0.807,59829574391,14232,Generation Z
Cuba,2010,male,75+ years,206,263320,78,Cuba2010,0.778,64328000000,5997,Silent
Cuba,2010,male,55-74 years,374,972763,38,Cuba2010,0.778,64328000000,5997,Silent
Cuba,2010,male,35-54 years,476,1899890,25,Cuba2010,0.778,64328000000,5997,Generation X
Cuba,2010,male,25-34 years,102,710089,14,Cuba2010,0.778,64328000000,5997,Generation X
Cuba,2010,female,55-74 years,142,1005594,14,Cuba2010,0.778,64328000000,5997,Silent
Cuba,2010,female,75+ years,40,340480,12,Cuba2010,0.778,64328000000,5997,Silent
Cuba,2010,male,15-24 years,67,817305,8,Cuba2010,0.778,64328000000,5997,Millenials
Cuba,2010,female,35-54 years,105,1893737,6,Cuba2010,0.778,64328000000,5997,Generation X
Cuba,2010,female,25-34 years,17,688810,2,Cuba2010,0.778,64328000000,5997,Generation X
Cuba,2010,female,15-24 years,18,771457,2,Cuba2010,0.778,64328000000,5997,Millenials
Cuba,2010,female,5-14 years,7,660046,1,Cuba2010,0.778,64328000000,5997,Generation Z
Cuba,2010,male,5-14 years,4,702357,1,Cuba2010,0.778,64328000000,5997,Generation Z
Cyprus,2010,male,75+ years,3,19667,15,Cyprus2010,0.848,25562251656,32477,Silent
Cyprus,2010,male,25-34 years,7,65092,11,Cyprus2010,0.848,25562251656,32477,Generation X
Cyprus,2010,male,55-74 years,7,75567,9,Cyprus2010,0.848,25562251656,32477,Silent
Cyprus,2010,male,35-54 years,9,107241,8,Cyprus2010,0.848,25562251656,32477,Generation X
Cyprus,2010,male,15-24 years,4,67097,6,Cyprus2010,0.848,25562251656,32477,Millenials
Cyprus,2010,female,15-24 years,3,64577,5,Cyprus2010,0.848,25562251656,32477,Millenials
Cyprus,2010,female,35-54 years,4,119200,3,Cyprus2010,0.848,25562251656,32477,Generation X
Cyprus,2010,female,55-74 years,1,79168,1,Cyprus2010,0.848,25562251656,32477,Silent
Cyprus,2010,female,25-34 years,0,69866,0,Cyprus2010,0.848,25562251656,32477,Generation X
Cyprus,2010,female,5-14 years,0,45354,0,Cyprus2010,0.848,25562251656,32477,Generation Z
Cyprus,2010,female,75+ years,0,26570,0,Cyprus2010,0.848,25562251656,32477,Silent
Cyprus,2010,male,5-14 years,0,47682,0,Cyprus2010,0.848,25562251656,32477,Generation Z
Czech Republic,2010,male,75+ years,115,243211,47,Czech Republic2010,0.863,2.07478E+11,20862,Silent
Czech Republic,2010,male,55-74 years,394,1121705,35,Czech Republic2010,0.863,2.07478E+11,20862,Silent
Czech Republic,2010,male,35-54 years,473,1499075,32,Czech Republic2010,0.863,2.07478E+11,20862,Generation X
Czech Republic,2010,male,25-34 years,168,858416,20,Czech Republic2010,0.863,2.07478E+11,20862,Generation X
Czech Republic,2010,male,15-24 years,94,665538,14,Czech Republic2010,0.863,2.07478E+11,20862,Millenials
Czech Republic,2010,female,75+ years,40,453417,9,Czech Republic2010,0.863,2.07478E+11,20862,Silent
Czech Republic,2010,female,55-74 years,84,1288749,7,Czech Republic2010,0.863,2.07478E+11,20862,Silent
Czech Republic,2010,female,35-54 years,87,1445352,6,Czech Republic2010,0.863,2.07478E+11,20862,Generation X
Czech Republic,2010,female,25-34 years,26,805752,3,Czech Republic2010,0.863,2.07478E+11,20862,Generation X
Czech Republic,2010,female,15-24 years,20,629937,3,Czech Republic2010,0.863,2.07478E+11,20862,Millenials
Czech Republic,2010,male,5-14 years,1,479853,0,Czech Republic2010,0.863,2.07478E+11,20862,Generation Z
Czech Republic,2010,female,5-14 years,0,454268,0,Czech Republic2010,0.863,2.07478E+11,20862,Generation Z
Denmark,2010,male,75+ years,61,153231,40,Denmark2010,0.908,3.21995E+11,61711,Silent
Denmark,2010,male,55-74 years,142,613233,23,Denmark2010,0.908,3.21995E+11,61711,Silent
Denmark,2010,male,35-54 years,142,791338,18,Denmark2010,0.908,3.21995E+11,61711,Generation X
Denmark,2010,male,25-34 years,43,329780,13,Denmark2010,0.908,3.21995E+11,61711,Generation X
Denmark,2010,female,75+ years,22,236409,9,Denmark2010,0.908,3.21995E+11,61711,Silent
Denmark,2010,female,55-74 years,56,634607,9,Denmark2010,0.908,3.21995E+11,61711,Silent
Denmark,2010,female,35-54 years,64,776699,8,Denmark2010,0.908,3.21995E+11,61711,Generation X
Denmark,2010,male,15-24 years,17,349175,5,Denmark2010,0.908,3.21995E+11,61711,Millenials
Denmark,2010,female,15-24 years,10,333696,3,Denmark2010,0.908,3.21995E+11,61711,Millenials
Denmark,2010,female,25-34 years,6,327722,2,Denmark2010,0.908,3.21995E+11,61711,Generation X
Denmark,2010,female,5-14 years,0,327790,0,Denmark2010,0.908,3.21995E+11,61711,Generation Z
Denmark,2010,male,5-14 years,0,344105,0,Denmark2010,0.908,3.21995E+11,61711,Generation Z
Ecuador,2010,male,15-24 years,214,1436267,15,Ecuador2010,0.717,69555367000,5206,Millenials
Ecuador,2010,male,25-34 years,171,1181648,14,Ecuador2010,0.717,69555367000,5206,Generation X
Ecuador,2010,male,35-54 years,165,1639225,10,Ecuador2010,0.717,69555367000,5206,Generation X
Ecuador,2010,male,55-74 years,68,713198,10,Ecuador2010,0.717,69555367000,5206,Silent
Ecuador,2010,male,75+ years,14,160404,9,Ecuador2010,0.717,69555367000,5206,Silent
Ecuador,2010,female,15-24 years,113,1395797,8,Ecuador2010,0.717,69555367000,5206,Millenials
Ecuador,2010,female,25-34 years,60,1175139,5,Ecuador2010,0.717,69555367000,5206,Generation X
Ecuador,2010,female,75+ years,6,200768,3,Ecuador2010,0.717,69555367000,5206,Silent
Ecuador,2010,female,55-74 years,18,766861,2,Ecuador2010,0.717,69555367000,5206,Silent
Ecuador,2010,female,35-54 years,39,1675740,2,Ecuador2010,0.717,69555367000,5206,Generation X
